ETF_ID,ETF_NAME,N_QUARTERS_AVAILABLE,MEAN_FINANCIAL_MATCH_WEIGHT,PERSISTENT_INTERNAL_FINANCIAL_CAPACITY,SD_INTERNAL_FINANCIAL_CAPACITY,N_INTERNAL_FINANCIAL_CAPACITY,MIN_INTERNAL_FINANCIAL_CAPACITY,MAX_INTERNAL_FINANCIAL_CAPACITY,RANGE_INTERNAL_FINANCIAL_CAPACITY,PERSISTENT_EXTERNAL_FINANCING_DEPENDENCE,SD_EXTERNAL_FINANCING_DEPENDENCE,N_EXTERNAL_FINANCING_DEPENDENCE,MIN_EXTERNAL_FINANCING_DEPENDENCE,MAX_EXTERNAL_FINANCING_DEPENDENCE,RANGE_EXTERNAL_FINANCING_DEPENDENCE,PERSISTENT_GROWTH_DURATION_EXPOSURE_FINAL,SD_GROWTH_DURATION_EXPOSURE_FINAL,N_GROWTH_DURATION_EXPOSURE_FINAL,MIN_GROWTH_DURATION_EXPOSURE_FINAL,MAX_GROWTH_DURATION_EXPOSURE_FINAL,RANGE_GROWTH_DURATION_EXPOSURE_FINAL,PERSISTENT_PORTFOLIO_CONCENTRATION_FINAL,SD_PORTFOLIO_CONCENTRATION_FINAL,N_PORTFOLIO_CONCENTRATION_FINAL,MIN_PORTFOLIO_CONCENTRATION_FINAL,MAX_PORTFOLIO_CONCENTRATION_FINAL,RANGE_PORTFOLIO_CONCENTRATION_FINAL,PERSISTENT_FINANCIAL_ARCHITECTURE_RISK_FINAL,SD_FINANCIAL_ARCHITECTURE_RISK_FINAL,N_FINANCIAL_ARCHITECTURE_RISK_FINAL,MIN_FINANCIAL_ARCHITECTURE_RISK_FINAL,MAX_FINANCIAL_ARCHITECTURE_RISK_FINAL,RANGE_FINANCIAL_ARCHITECTURE_RISK_FINAL,PERSISTENT_EXTENDED_ARCHITECTURE_RISK_FINAL,SD_EXTENDED_ARCHITECTURE_RISK_FINAL,N_EXTENDED_ARCHITECTURE_RISK_FINAL,MIN_EXTENDED_ARCHITECTURE_RISK_FINAL,MAX_EXTENDED_ARCHITECTURE_RISK_FINAL,RANGE_EXTENDED_ARCHITECTURE_RISK_FINAL,AVAILABLE_ALL_THREE_QUARTERS
S000003053,Invesco WilderHill Clean Energy ETF,3,0.615916391975518,-0.264940525131627,0.0,3,-0.264940525131627,-0.264940525131627,0.0,3.0741472482649197,0.0,3,3.0741472482649197,3.0741472482649197,0.0,0.3780532628946447,0.362567916416943,3,-0.0353423627742376,0.6420532268518703,0.6773955896261079,-0.6442203463807008,0.1633028591292398,3,-0.8323136948067007,-0.5386197547278935,0.2936939400788072,1.2390470120970638,0.12085597213898104,3,1.1012484702074363,1.3270470000828058,0.22579852987536952,0.7682301724776227,0.1313589780064019,3,0.6178579289539021,0.860630311380131,0.2427723824262289,1
S000004436,iShares ESG Optimized MSCI USA ETF,3,0.9143455490061702,-0.00536213217846232,0.09988712473881937,3,-0.109805518979122,0.08924023964723377,0.19904575862635576,-0.38782063648721166,0.022600126656232344,3,-0.4048340108756717,-0.36217701421647763,0.04265699665919409,-0.2587441270057867,0.204496746259048,3,-0.4189694287901589,-0.02841560234648632,0.3905538264436726,-0.4617769943010683,0.25681751390044166,3,-0.6301699291436462,-0.16618492600944182,0.46398500313420443,-0.21373421043817867,0.03562651944247955,3,-0.24325903901556725,-0.17416328428979724,0.06909575472577001,-0.2757449064039011,0.08972552052629292,3,-0.3296883111992046,-0.1721686947197084,0.15751961647949622,1
S000013122,Invesco MSCI Sustainable Future ETF,3,0.3875453916522389,-0.20982422040911333,0.33332831950485253,3,-0.5863298768781888,0.047641226393297986,0.6339711032714868,1.915822869472439,0.23751743076422663,3,1.653704852785557,2.116775646586356,0.4630707938007992,-0.501795307095334,0.44493392391678105,3,-0.9801778074141158,-0.10034243425963991,0.8798353731544758,0.12144935613503634,0.05549505784421714,3,0.05782049582629408,0.1598385522161102,0.10201805638981612,0.5412839275954061,0.08958506110836341,3,0.4398743946385865,0.6096681494641553,0.16979375482556874,0.4363252847303136,0.0604050067525763,3,0.36657805106961605,0.47170623605469,0.10512818498507392,1
S000013931,iShares ESG MSCI KLD 400 ETF,1,0.9266481781770455,0.0014825934834360455,,1,0.0014825934834360455,0.0014825934834360455,0.0,-0.1973331878524621,,1,-0.1973331878524621,-0.1973331878524621,0.0,0.34916849678825185,,1,0.34916849678825185,0.34916849678825185,0.0,0.9173704536702146,,1,0.9173704536702146,0.9173704536702146,0.0,0.05011757181745124,,1,0.05011757181745124,0.05011757181745124,0.0,0.2669307922806421,,1,0.2669307922806421,0.2669307922806421,0.0,0
S000015279,Invesco Global Clean Energy ETF,3,0.21408872300071038,-0.264940525131627,0.0,3,-0.264940525131627,-0.264940525131627,0.0,3.0741472482649197,0.0,3,3.0741472482649197,3.0741472482649197,0.0,-0.17769454005296628,0.18903949117658192,3,-0.3302467926420241,0.03379174450196931,0.3640385371439934,-1.1808679642346425,0.05579265434997193,3,-1.2243365351035314,-1.1179550096937574,0.10638152540977397,1.0537977444478601,0.06301316372552726,3,1.002946993584841,1.1242931726328387,0.12134617904799772,0.49513131727723453,0.042510523264195174,3,0.45213215821197095,0.5371357456987462,0.08500358748677528,1
S000016884,VanEck Low Carbon Energy ETF,3,0.3472094348671586,-0.6612606008548495,0.3391955659983175,3,-0.9361745802205632,-0.2822040251729684,0.6539705550475948,2.125991342478836,0.11736394768008021,3,1.9988924442698053,2.2302679173178106,0.23137547304800532,-0.4330539434759768,0.5567564111950005,3,-0.894765854433767,0.18522204874148915,1.0799879031752562,0.9288110554620582,0.0678476682213773,3,0.8539579767063618,0.9862642903654598,0.13230631365909806,0.7847326666192362,0.077353164030806,3,0.7248925389017232,0.8720799132544496,0.14718737435272633,0.8207522638299416,0.04399967146865339,3,0.7802221290048806,0.8675494291174276,0.08732730011254697,1
S000022498,iShares Global Clean Energy ETF,3,0.32061014081229283,-0.380876273873815,0.7619097680647684,3,-1.122370115466114,0.399927541551641,1.522297657017755,1.994361340352629,0.4909592808024515,3,1.5393474975247337,2.5147211557804554,0.9753736582557218,-0.7251281517928828,0.6177927564933642,3,-1.0818109660577275,-0.01176252326319327,1.0700484427945343,0.6281950957833924,0.32028519048762083,3,0.3230904365066944,0.9617611359837567,0.6386706994770623,0.5500364874778537,0.28220826392184034,3,0.2925742597246594,0.851760101729614,0.5591858420049547,0.5695761395542385,0.18042921136832937,3,0.36936412350842607,0.7195926854238841,0.35022856191545804,1
S000022933,First Trust Global Wind Energy ETF,3,0.13459188360737795,-1.118663073825447,0.4008403727048966,3,-1.3764373258510894,-0.6568535384817641,0.7195837873693253,1.3371515000783294,0.29843166031229906,3,1.0785970308717832,1.6637194990796005,0.5851224682078173,-1.6555965321149178,0.31703145229339236,3,-1.9543803613778692,-1.3230240801125654,0.6313562812653037,0.700576928462238,0.015015661829090343,3,0.6847359807773782,0.714602185879845,0.029866205102466847,0.26673934726295284,0.16141875010841544,3,0.1220642253944985,0.4408504053407094,0.3187861799462109,0.3751987425627741,0.12015342879996305,3,0.27019871551583513,0.5062359586879046,0.23603724317206948,1
S000047509,SPDR MSCI ACWI Climate Paris Aligned ETF,3,0.5842406590529182,-0.023116663865166014,0.1327869458329076,3,-0.1223899629707991,0.12771772304943232,0.2501076860202314,-0.6168678503670484,0.061639718703042086,3,-0.676967667246052,-0.5537957686174382,0.12317189862861377,0.16863002934671126,0.2655059513689828,3,-0.10125172666443776,0.4295323639237411,0.5307840905881789,-0.9562026967138678,0.26888992588170263,3,-1.207287450194623,-0.6724859631143619,0.534801487080261,-0.14170705238505701,0.031068909822263367,3,-0.17755251077035894,-0.12251763759423107,0.055034873176127874,-0.3453309634672597,0.0867064948363553,3,-0.43498624562642496,-0.2619097473715263,0.17307649825489868,1
S000047644,iShares MSCI ACWI Low Carbon Target ETF,3,0.6025627879515901,-0.014156306347541336,0.1239810845513691,3,-0.13297001534500955,0.11441546875573363,0.24738548410074318,-0.5360900486169435,0.0492948599203568,3,-0.5816309698900708,-0.48374761507082054,0.09788335481925026,0.15610704695494415,0.22003093842389476,3,-0.04990651482598446,0.3878865855834153,0.4377931004093998,-1.1129779318316975,0.2795214431156459,3,-1.3852156182578363,-0.826701775348642,0.5585138429091944,-0.121942231771486,0.016767650980844484,3,-0.13356137151726516,-0.10271995102079635,0.030841420496468805,-0.36970115678653886,0.08176986714347909,3,-0.44647493320240794,-0.2837154071027578,0.16275952609965016,1
