MODEL_FAMILY,CHANNEL,OUTCOME,HORIZON,FOCAL_TERM,STATUS,N_OBS,N_ETFS,N_DATES,COEFFICIENT,STD_ERROR,T_STAT,P_VALUE,CI_LOW_95,CI_HIGH_95,R_SQUARED_WITHIN_TRANSFORMED,P_HOLM_FAMILY,Q_BH_FAMILY
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0032629835569114307,0.00347988109463106,-0.9376709916743218,0.3484135158120465,-0.010083550502388308,0.0035575833885654468,0.003785890858288954,0.8841273112127696,0.36356192954300504
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4313,48,189,-0.019600538628400176,0.00715732738033027,-2.7385276077026006,0.006171497859205008,-0.033628900293847505,-0.0055721769629528475,0.014657372117584444,0.0740579743104601,0.011393534509301554
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4169,48,186,-0.048453082975452796,0.011838731215672508,-4.0927597808208525,4.262692602752595e-05,-0.07165699615817091,-0.025249169792734682,0.0238642272933014,0.000980419298633097,0.0004908456745209606
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,3881,48,180,-0.05557290552366896,0.013867103398053835,-4.007535238503254,6.135570931512008e-05,-0.08275242818385448,-0.028393382863483446,0.014704120725025471,0.0013498256049326418,0.0004908456745209606
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0013855728968892548,0.00381990054221115,-0.3627248619638708,0.7168104256300378,-0.008872577959623108,0.006101432165844599,0.0028034207715916803,1.0,0.9470645566096298
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4313,48,189,-0.010411752927465361,0.007911511759033943,-1.3160257160177333,0.18816541151894461,-0.02591831597517189,0.005094810120241166,0.007298395604559804,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4169,48,186,-0.022563181602017778,0.013217877452544739,-1.7070200327567613,0.08781832900077169,-0.04847022140900546,0.0033438582049699107,0.009802276577366542,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,3881,48,180,0.0025613837865559354,0.019259161117821073,0.1329956050985944,0.8941968562472615,-0.03518657200437336,0.04030933957748524,0.00855707003665529,1.0,0.999365847350783
EXTREME_CPU_RECOVERY,PORTFOLIO_CONCENTRATION,ETF_RETURN,0,EXTREME_CPU_X_PORTFOLIO_CONCENTRATION,OK,4418,48,192,0.00040054358612626694,0.0027104442941289775,0.1477778336909096,0.8825181033984945,-0.004911927230366529,0.005713014402619063,0.0026325706307763763,0.8841273112127696,0.8825181033984945
EXTREME_CPU_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_PORTFOLIO_CONCENTRATION,OK,4313,48,189,0.007460794215076119,0.004826516229109581,1.5457928370941214,0.12215460749916542,-0.0019991775939786583,0.016920766024130895,0.006035493397052338,0.8550822524941579,0.16287280999888723
EXTREME_CPU_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_PORTFOLIO_CONCENTRATION,OK,4169,48,186,0.02258793327928995,0.007754228897722406,2.9129825256931143,0.0035799463375468634,0.0073896446397540335,0.037786221918825864,0.009245270232254299,0.05369919506320295,0.008591871210112472
EXTREME_CPU_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_PORTFOLIO_CONCENTRATION,OK,3881,48,180,0.023114982132824816,0.010374076826579487,2.228148347002962,0.025870624196422873,0.0027817915527290245,0.043448172712920605,0.009071709534950956,0.2845768661606516,0.044349641479582064
JOINT_STRESS_RECOVERY,PORTFOLIO_CONCENTRATION,ETF_RETURN,0,JOINT_STRESS_X_PORTFOLIO_CONCENTRATION,OK,4418,48,192,-0.0009206356091558189,0.0028863979454148716,-0.31895657721703824,0.7497594406492902,-0.006577975582168967,0.004736704363857329,0.00268762047940474,1.0,0.9470645566096298
JOINT_STRESS_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_PORTFOLIO_CONCENTRATION,OK,4313,48,189,0.005439346610984788,0.005992288485970917,0.9077244234351082,0.36402383681500006,-0.006305538821518209,0.017184232043487783,0.005299261259119614,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_PORTFOLIO_CONCENTRATION,OK,4169,48,186,0.010798433192369047,0.010039857778587036,1.0755563903902998,0.2821256998572066,-0.008879688053661544,0.03047655443839964,0.0063410527569929265,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_PORTFOLIO_CONCENTRATION,OK,3881,48,180,-0.001825042113957716,0.01204504238254175,-0.1515181147559063,0.87956702229469,-0.025433325183739548,0.021783240955824113,0.008110859976268592,1.0,0.999365847350783
EXTREME_CPU_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,ETF_RETURN,0,EXTREME_CPU_X_FINANCIAL_ARCHITECTURE_RISK,OK,4418,48,192,0.00613098569648857,0.004142235344052276,1.480115248712724,0.13884249279559607,-0.0019877955778538903,0.01424976697083103,0.0066374106959519175,0.8550822524941579,0.1753799908997003
EXTREME_CPU_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_FINANCIAL_ARCHITECTURE_RISK,OK,4313,48,189,0.029224080241597457,0.009567019920943168,3.054669111498661,0.002253089501761674,0.010472721196548847,0.04797543928664606,0.026307695623180805,0.036049432028186786,0.006008238671364464
EXTREME_CPU_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_FINANCIAL_ARCHITECTURE_RISK,OK,4169,48,186,0.0631169955385483,0.01740345198032489,3.626694038050836,0.000287073113654728,0.029006229657111512,0.09722776141998508,0.03589075734763858,0.005167316045785104,0.0009842506753876387
EXTREME_CPU_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_FINANCIAL_ARCHITECTURE_RISK,OK,3881,48,180,0.04123956479946679,0.02492604683455853,1.6544767436724266,0.09803068478997502,-0.007615486996267927,0.09009461659520152,0.01169329921635609,0.7842454783198002,0.13839626087996473
JOINT_STRESS_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,ETF_RETURN,0,JOINT_STRESS_X_FINANCIAL_ARCHITECTURE_RISK,OK,4418,48,192,-3.4970603221599027e-06,0.004399966079031919,-0.0007947925641575233,0.999365847350783,-0.008627430575224722,0.008620436454580402,0.00261984572724816,1.0,0.999365847350783
JOINT_STRESS_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_FINANCIAL_ARCHITECTURE_RISK,OK,4313,48,189,0.005950279424088514,0.011584903814991318,0.5136235500193467,0.6075152112915299,-0.01675613205329447,0.028656690901471497,0.00551578684734666,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_FINANCIAL_ARCHITECTURE_RISK,OK,4169,48,186,0.015839426766820437,0.01860142423909639,0.851516881891721,0.39448228953536413,-0.020619364741808484,0.05229821827544936,0.007611014441150754,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_FINANCIAL_ARCHITECTURE_RISK,OK,3881,48,180,-0.014665377906806268,0.02473629998938912,-0.5928686955242751,0.5532690295923406,-0.06314852588600894,0.033817770072396405,0.009123146130598392,1.0,0.9112728169372948
EXTREME_CPU_RECOVERY,EXTENDED_ARCHITECTURE_RISK,ETF_RETURN,0,EXTREME_CPU_X_EXTENDED_ARCHITECTURE_RISK,OK,4418,48,192,0.005677616424571079,0.0047254413299240225,1.2014997178395537,0.22955741587061096,-0.003584248582080005,0.014939481431222163,0.005965133235373177,0.8841273112127696,0.2504262718588483
EXTREME_CPU_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_EXTENDED_ARCHITECTURE_RISK,OK,4313,48,189,0.029494395595313062,0.010484838635009555,2.8130519335633233,0.004907372474092982,0.008944111870694334,0.05004467931993179,0.026048566722758904,0.06379584216320877,0.009814744948185964
EXTREME_CPU_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_EXTENDED_ARCHITECTURE_RISK,OK,4169,48,186,0.06655337269989736,0.018559834840698182,3.5858817317683505,0.0003359411931479565,0.030176096412128928,0.1029306489876658,0.03827241242045121,0.00571100028351526,0.0010078235794438695
EXTREME_CPU_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_EXTENDED_ARCHITECTURE_RISK,OK,3881,48,180,0.04750986632873896,0.025875949938283634,1.8360626930433115,0.066348385074591,-0.003206995550296965,0.09822672820777488,0.012531433061675368,0.5971354656713189,0.0995225776118865
JOINT_STRESS_RECOVERY,EXTENDED_ARCHITECTURE_RISK,ETF_RETURN,0,JOINT_STRESS_X_EXTENDED_ARCHITECTURE_RISK,OK,4418,48,192,-0.0004127291277610031,0.005042637301589414,-0.08184787107946727,0.9347676881294409,-0.010296298238876254,0.009470839983354247,0.0026394292540780073,1.0,0.999365847350783
JOINT_STRESS_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_EXTENDED_ARCHITECTURE_RISK,OK,4313,48,189,0.007839123397044602,0.012854277479572723,0.609845509364652,0.5419641515206979,-0.017355260462917934,0.03303350725700714,0.006063321501955765,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_EXTENDED_ARCHITECTURE_RISK,OK,4169,48,186,0.01904796819851449,0.02088730938438146,0.9119397739546894,0.36180042238915355,-0.02189115819487317,0.05998709459190216,0.008395093611888949,1.0,0.9112728169372948
JOINT_STRESS_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_EXTENDED_ARCHITECTURE_RISK,OK,3881,48,180,-0.014522134931036355,0.027615442501655985,-0.5258700790387669,0.5989784793128032,-0.06864840223428208,0.039604132372209375,0.009026022859218608,1.0,0.9112728169372948
