CHANNEL,QUARTER_1,QUARTER_2,N_ETFS_x,PEARSON_R,PEARSON_P,SPEARMAN_RHO,SPEARMAN_P,KENDALL_TAU,KENDALL_P,N_ETFS_y,N_QUARTERS,ICC_3_1,INTERPRETATION
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,54,0.7641062356063812,1.792283313435004e-11,0.7325044811410701,3.062703252819285e-10,0.5752461322081573,1.016533761395847e-09,54,3,0.8526879941889735,Good
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,56,0.9546080222549902,4.4689220043758714e-30,0.9305560444144984,3.172142245385653e-25,0.8210184608630768,8.968445729961422e-19,56,3,0.9607178701263599,Excellent
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,56,0.7627127047480301,8.419192091504907e-12,0.7653071801662568,6.48949143128832e-12,0.6108225501004199,3.47424162296331e-11,56,3,0.8175414446557983,Good
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,56,0.9279539072527168,8.28046949541406e-25,0.9196855775803146,1.3974261520238945e-23,0.7610389610389611,1.1995822695378332e-16,56,3,0.951273659380473,Excellent
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,56,0.917740783514495,2.5994551451435952e-23,0.8968652834910993,8.87269289533218e-21,0.7385220065685031,1.0831320252175962e-15,56,3,0.9215036450902039,Excellent
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,56,0.9254000922001635,2.051691794641591e-24,0.9156527682843473,4.9772022128900316e-23,0.7623376623376624,1.065167314551617e-16,56,3,0.9274527503578606,Excellent
