CHANNEL,SHOCK,HORIZON_MONTHS,ARCHITECTURE_COLUMN,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,N_OBSERVATIONS,N_ETFS,N_DATES,COVARIANCE_METHOD,MONTH_FE,COVARIANCE_STATUS,TARGET_VARIANCE,NEGATIVE_DIAGONAL_COUNT,ZERO_DIAGONAL_COUNT,NONFINITE_COV_ELEMENTS,MIN_COV_EIGENVALUE,REGRESSORS,DESIGN_RANK,N_REGRESSORS,CONDITION_NUMBER,WITHIN_ITERATIONS,WITHIN_CONVERGENCE,DF_INFERENCE
INTERNAL_FINANCIAL_CAPACITY,EXTREME_CPU_REGIME,0,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.007407843316487757,0.003744679479756954,-1.9782316100839044,0.049340278700759604,-0.014794081254169603,-2.1605378805910312e-05,1777,23,192,DATE_CLUSTER,False,VALID,1.4022624406112814e-05,0,0,0,2.567591590492045e-06,EXTREME_CPU_REGIME|EXTREME_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,6,6,17.224539287003854,1,5.45427518569365e-17,191
INTERNAL_FINANCIAL_CAPACITY,EXTREME_CPU_REGIME,3,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.026691896791512217,0.011199761556186022,-2.383255809296167,0.018156652950673875,-0.048785248576966714,-0.004598545006057719,1708,23,189,DK,False,VALID,0.00012543465891542234,0,0,0,9.755016119012723e-05,EXTREME_CPU_REGIME|EXTREME_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,6,6,16.576591978111885,1,2.3010477208273152e-17,188
INTERNAL_FINANCIAL_CAPACITY,EXTREME_CPU_REGIME,6,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.05022879557320578,0.016197819987281592,-3.1009602287619606,0.002230845813849656,-0.0821849878202478,-0.018272603326163768,1639,23,186,DK,False,VALID,0.00026236937234037905,0,0,0,9.303552055500056e-05,EXTREME_CPU_REGIME|EXTREME_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,6,6,15.298700764387265,1,5.649334975822944e-17,185
INTERNAL_FINANCIAL_CAPACITY,EXTREME_CPU_REGIME,9,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.072610975984937,0.017264310927762646,-4.205842694142613,4.076442087819791e-05,-0.10667491298268171,-0.03854703898719229,1570,23,183,DK,False,VALID,0.00029805643181046477,0,0,0,0.00015323429109196298,EXTREME_CPU_REGIME|EXTREME_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,6,6,14.381170494410727,1,1.3365105200901566e-17,182
INTERNAL_FINANCIAL_CAPACITY,EXTREME_CPU_REGIME,12,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.08221723543751264,0.025397257351074037,-3.2372485855853923,0.0014381671688056626,-0.13233378137305735,-0.03210068950196793,1501,23,180,DK,False,VALID,0.0006450206809566842,0,0,0,0.00013895475256840527,EXTREME_CPU_REGIME|EXTREME_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,6,6,12.51514362244261,1,2.2448546833693206e-17,179
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,0,EXTERNAL_FINANCING_DEPENDENCE_MAIN,RELIABLE_ESTIMATE,-0.006535591221884851,0.002270390829000016,-2.8786194598766173,0.004449538971850514,-0.011013850834003452,-0.0020573316097662513,883,11,192,DATE_CLUSTER,False,VALID,5.15467451640738e-06,0,0,0,4.954434678418784e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,71.19006915236682,1,9.316820625676569e-17,191
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,3,EXTERNAL_FINANCING_DEPENDENCE_MAIN,RELIABLE_ESTIMATE,-0.007215276030540093,0.01006245169624339,-0.7170495072521708,0.47423346252144805,-0.027065099085608356,0.012634547024528172,850,11,189,DK,False,VALID,0.00010125293413923146,0,0,0,1.018951252179811e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,71.40858091381955,1,7.340533409874564e-17,188
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,6,EXTERNAL_FINANCING_DEPENDENCE_MAIN,RELIABLE_ESTIMATE,-0.008639086606021612,0.01605930180464456,-0.5379490784289934,0.59125877416257,-0.04032200049353528,0.023043827281492055,817,11,186,DK,False,VALID,0.00025790117445266,0,0,0,1.4505548025320827e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,71.34330442307774,1,5.585087675898891e-17,185
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,9,EXTERNAL_FINANCING_DEPENDENCE_MAIN,RELIABLE_ESTIMATE,-0.02357409698370614,0.011851278342699443,-1.9891606881571657,0.048181520051330216,-0.046957665577762236,-0.00019052838965004024,784,11,183,DK,False,VALID,0.00014045279835613687,0,0,0,1.379406208839884e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,69.2580192902565,1,7.115906503496699e-17,182
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,12,EXTERNAL_FINANCING_DEPENDENCE_MAIN,RELIABLE_ESTIMATE,-0.03211430372631691,0.01913530726774337,-1.6782747868623151,0.09503846525181818,-0.06987410953598115,0.005645502083347326,751,11,180,DK,False,VALID,0.0003661599842309523,0,0,0,1.9115320540043604e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,70.93947407052555,1,7.229015433311606e-17,179
