CHANNEL,EXPECTED_SIGN,name,family,kind,a,b,description,MODEL_VARIANT,FOCAL_REGRESSOR,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,N_OBSERVATIONS,N_ETFS,N_DATES,COVARIANCE_METHOD,MONTH_FE,COVARIANCE_STATUS,TARGET_VARIANCE,NEGATIVE_DIAGONAL_COUNT,ZERO_DIAGONAL_COUNT,NONFINITE_COV_ELEMENTS,MIN_COV_EIGENVALUE,REGRESSORS,DESIGN_RANK,N_REGRESSORS,CONDITION_NUMBER,WITHIN_ITERATIONS,WITHIN_CONVERGENCE,DF_INFERENCE,cont,binary,cpu,vix,SAMPLE_WINDOW,ERROR_MESSAGE,shock,HOLM_P_WITHIN_FAMILY,BH_Q_WITHIN_FAMILY,EXPECTED_SIGN_MATCH
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_DIFF_Z_VIX_CONTINUOUS,ALTERNATIVE_CPU_MEASURE,CONTINUOUS,,,CPU_DIFF_Z x VIX x architecture,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,0.001647259660671002,0.0009118649189071806,1.8064733344990958,0.07242679083052213,-0.00015141959005175818,0.003445938911393762,1775,23,191,DATE_CLUSTER,False,VALID,8.314976303335989e-07,0.0,0.0,0.0,1.6582377944905725e-07,CPU_DIFF_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,50.81848844803563,1.0,9.038153637089303e-17,190.0,,,CPU_DIFF_Z,VIX_LEVEL_Z,,,,1.0,0.15802208908477555,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_CHANGE_Z_VIX_CONTINUOUS,ALTERNATIVE_CPU_MEASURE,CONTINUOUS,,,CPU_CHANGE_Z x VIX x architecture,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,0.0024419043696604125,0.001927035626146666,1.2671817461638148,0.206641284403271,-0.0013592277106344425,0.006243036449955268,1775,23,191,DATE_CLUSTER,False,VALID,3.7134663044384737e-06,0.0,0.0,0.0,1.9332743527185915e-07,CPU_CHANGE_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,42.94894904179108,1.0,9.038153637089303e-17,190.0,,,CPU_CHANGE_Z,VIX_LEVEL_Z,,,,1.0,0.3099619266049065,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,LOG_CPU_BROAD_Z_VIX_CONTINUOUS,ALTERNATIVE_CPU_MEASURE,CONTINUOUS,,,LOG_CPU_BROAD_Z x VIX x architecture,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,0.0009240143986803869,0.0019635983312123054,0.47057200242674374,0.6384833319688421,-0.0029491086728062124,0.004797137470166986,1777,23,192,DATE_CLUSTER,False,VALID,3.85571840633975e-06,0.0,0.0,0.0,1.6730821992750455e-07,LOG_CPU_BROAD_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,51.54481365820813,1.0,1.1027257391465399e-16,191.0,,,LOG_CPU_BROAD_Z,VIX_LEVEL_Z,,,,1.0,0.7307534415167739,True
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,LOG_CPU_LLM_Z_VIX_CONTINUOUS,ALTERNATIVE_CPU_MEASURE,CONTINUOUS,,,LOG_CPU_LLM_Z x VIX x architecture,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,-0.002343209443116348,0.0010786904481093855,-2.172272357860661,0.031635171657751544,-0.004477116459466022,-0.0002093024267666734,580,15,132,DATE_CLUSTER,False,VALID,1.1635730828424271e-06,0.0,0.0,0.0,1.000766473416088e-07,LOG_CPU_LLM_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,78.27736573750845,1.0,3.981489467621251e-17,131.0,,,LOG_CPU_LLM_Z,VIX_LEVEL_Z,,,,0.5641635337903602,0.09490551497325464,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_SHOCK_VIX_CONTINUOUS,ALTERNATIVE_CPU_MEASURE,CONTINUOUS,,,CPU_SHOCK x VIX x architecture,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,-0.002390976747030109,0.004237909838098603,-0.5641877336642098,0.573688191687375,-0.010782461493884803,0.006000507999824585,422,11,120,DATE_CLUSTER,False,VALID,1.7959879795852933e-05,0.0,0.0,0.0,3.6209324912301773e-07,CPU_SHOCK|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,46.42273485998915,1.0,8.57660440824173e-17,119.0,,,CPU_SHOCK,VIX_LEVEL_Z,,,,1.0,0.7307534415167739,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,FUTURE_CPU_LEAD1_VIX,LEAD_PLACEBO,CONTINUOUS,,,Future CPU lead 1 x current VIX placebo,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,-0.0011334128706239307,0.0023216561350460716,-0.4881915342736313,0.6259771034372617,-0.0057129450259185656,0.0034461192846707038,1754,23,191,DATE_CLUSTER,False,VALID,5.390087209397063e-06,0.0,0.0,0.0,1.4723072303227646e-07,CPU_Z_LEAD1|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,51.57680334902778,1.0,1.0121132362460806e-16,190.0,,,CPU_Z_LEAD1,VIX_LEVEL_Z,,,,1.0,0.715402403928299,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,FUTURE_CPU_LEAD3_VIX,LEAD_PLACEBO,CONTINUOUS,,,Future CPU lead 3 x current VIX placebo,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,-0.0035382035932406985,0.0015776857848218814,-2.242654163002525,0.026086987539910917,-0.006650445481259136,-0.0004259617052222611,1708,23,189,DATE_CLUSTER,False,VALID,2.489092435629036e-06,0.0,0.0,0.0,1.6090215719313016e-07,CPU_Z_LEAD3|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,44.42200580961826,1.0,8.606178481286342e-17,188.0,,,CPU_Z_LEAD3,VIX_LEVEL_Z,,,,0.20869590031928734,0.13064715214616635,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_CONTINUOUS,SAMPLE_WINDOW_STABILITY,CONTINUOUS,,,FULL_SAMPLE,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,-9.613480630341352e-05,0.001769035451431982,-0.05434306374448021,0.9567186396793698,-0.0035854899928036777,0.0033932203801968503,1777,23,192,DATE_CLUSTER,False,VALID,3.1294864284231567e-06,0.0,0.0,0.0,1.9385320677641784e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,48.57442769879292,1.0,1.1027257391465399e-16,191.0,,,,,FULL_SAMPLE,,,1.0,0.9567186396793698,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_AND_VIX_STRESS,SAMPLE_WINDOW_STABILITY,BINARY_PAIR,HIGH_CPU_REGIME,HIGH_VIX_REGIME,FULL_SAMPLE,ETF_FE_DATE_CLUSTER,CPU_AND_VIX_STRESS_AB_X_ARCH,RELIABLE_ESTIMATE,-0.007142148045875695,0.006292078177215573,-1.1351016062925496,0.25775518310816964,-0.01955303308707717,0.005268736995325781,1777,23,192,DATE_CLUSTER,False,VALID,3.959024778819245e-05,0.0,0.0,0.0,8.63096331641404e-07,HIGH_CPU_REGIME|HIGH_VIX_REGIME|CPU_AND_VIX_STRESS_AB|CPU_AND_VIX_STRESS_A_X_ARCH|CPU_AND_VIX_STRESS_B_X_ARCH|CPU_AND_VIX_STRESS_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,25.038090194764308,1.0,3.148859901019015e-17,191.0,,,,,FULL_SAMPLE,,,1.0,0.48687090142654266,False
INTERNAL_FINANCIAL_CAPACITY,POSITIVE,CPU_VIX_CONTINUOUS,SAMPLE_WINDOW_STABILITY,CONTINUOUS,,,EXCLUDE_2020,ETF_FE_DATE_CLUSTER,CPU_VIX_X_ARCH,RELIABLE_ESTIMATE,0.0020236893421531456,0.001644180281467047,1.2308196156856201,0.22000518892636217,-0.001220780541480782,0.005268159225787073,1619,23,180,DATE_CLUSTER,False,VALID,2.703328797965058e-06,0.0,0.0,0.0,2.6058432492440807e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10.0,10.0,50.014259676092465,1.0,2.5921204651532377e-17,179.0,,,,,EXCLUDE_2020,,,1.0,0.4675110264685196,True
