CHANNEL,TEST,OUTCOME,MODEL_VARIANT,EXPECTED_SIGN,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,N_OBSERVATIONS,N_ETFS,N_DATES,COVARIANCE_METHOD,MONTH_FE,COVARIANCE_STATUS,TARGET_VARIANCE,NEGATIVE_DIAGONAL_COUNT,ZERO_DIAGONAL_COUNT,NONFINITE_COV_ELEMENTS,MIN_COV_EIGENVALUE,REGRESSORS,DESIGN_RANK,N_REGRESSORS,CONDITION_NUMBER,WITHIN_ITERATIONS,WITHIN_CONVERGENCE,DF_INFERENCE,HOLM_P_WITHIN_OUTCOME_TEST,BH_Q_WITHIN_OUTCOME_TEST,EXPECTED_SIGN_MATCH
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,CRASH_Q05,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,0.06168339665097049,0.060477821412457985,1.019934171078857,0.3090498259336863,-0.057606807309032435,0.1809736006109734,1777,23,192,DATE_CLUSTER,False,VALID,0.0036575668827971614,0,0,0,0.00010864268322698765,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.038090194764308,1,3.148859901019015e-17,191,0.6180996518673726,0.4120664345782484,False
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,CRASH_Q05,ETF_MONTH_FE,NEGATIVE,RELIABLE_ESTIMATE,0.06901665488499287,0.029885877765012704,2.309340064483247,0.03069598506797474,0.007037137877461276,0.13099617189252447,1777,23,192,ETF_CLUSTER,True,VALID,0.0008931656897852808,0,0,0,2.361219850855125e-05,JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH,3,3,3.4225933100325183,30,7.607544087015327e-12,22,0.12278394027189896,0.12278394027189896,False
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,DOWNSIDE_RETURN,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.0058002103794023,0.00428165902631328,-1.3546642420044754,0.17712478635519852,-0.01424562006194893,0.0026451993031443317,1777,23,192,DATE_CLUSTER,False,VALID,1.8332604017609987e-05,0,0,0,1.402528187395856e-06,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.038090194764308,1,3.148859901019015e-17,191,0.5588945396566907,0.2974621814955857,False
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,DOWNSIDE_RETURN,ETF_MONTH_FE,POSITIVE,RELIABLE_ESTIMATE,-0.006221046924157427,0.0012951380466465503,-4.803385199180379,8.490122060242425e-05,-0.008906998838315534,-0.003535095009999319,1777,23,192,ETF_CLUSTER,True,VALID,1.677382559871442e-06,0,0,0,5.0799965784717895e-08,JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH,3,3,3.4225933100325183,30,7.607544087015327e-12,22,0.000339604882409697,0.000339604882409697,False
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,TAIL_SHORTFALL_Q10,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.006498256694936459,0.002992123659106679,-2.1717874778198714,0.031104102594396502,-0.012400106881207568,-0.0005964065086653501,1777,23,192,DATE_CLUSTER,False,VALID,8.952803991385942e-06,0,0,0,1.4554368523355585e-07,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.038090194764308,1,3.148859901019015e-17,191,0.12441641037758601,0.0960732581115048,False
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,TAIL_SHORTFALL_Q10,ETF_MONTH_FE,POSITIVE,RELIABLE_ESTIMATE,-0.006657583616414137,0.0009962116984728367,-6.6829004584266745,1.0192582745777817e-06,-0.008723600227807878,-0.004591567005020395,1777,23,192,ETF_CLUSTER,True,VALID,9.924377481741342e-07,0,0,0,1.3643629422922255e-07,JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH,3,3,3.4225933100325183,30,7.607544087015327e-12,22,4.077033098311127e-06,4.077033098311127e-06,False
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,CRASH_Q10,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.00642972917236862,0.009827214422519055,-0.6542778956399791,0.5137198174906611,-0.025813536086079593,0.012954077741342352,883,11,192,DATE_CLUSTER,False,VALID,9.657414330616654e-05,0,0,0,2.5574230670857032e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,71.19006915236682,1,9.316820625676569e-17,191,1.0,0.6849597566542148,False
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,CRASH_Q10,ETF_MONTH_FE,POSITIVE,RELIABLE_ESTIMATE,-0.006222111498764189,0.003243112061982947,-1.918561979927324,0.08400836537788033,-0.013448215485413709,0.0010039924878853324,883,11,192,ETF_CLUSTER,True,VALID,1.0517775846579281e-05,0,0,0,3.225568452256245e-06,CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH,3,3,1.7707515624007624,31,9.854218011287659e-12,10,0.16801673075576065,0.11201115383717376,False
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,CRASH_Q05,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.005567417667228713,0.007972096031145107,-0.6983630961641857,0.48579954453636415,-0.021292074067436474,0.01015723873297905,883,11,192,DATE_CLUSTER,False,VALID,6.355431512979957e-05,0,0,0,5.920477088565358e-06,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,71.19006915236682,1,9.316820625676569e-17,191,0.48579954453636415,0.48579954453636415,False
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,CRASH_Q05,ETF_MONTH_FE,POSITIVE,RELIABLE_ESTIMATE,0.0023881026926180064,0.003499194955229175,0.6824720323311054,0.5104397588684527,-0.005408589537802488,0.010184794923038502,883,11,192,ETF_CLUSTER,True,VALID,1.2244365334701308e-05,0,0,0,5.928157271548421e-06,CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH,3,3,1.7707515624007624,31,9.854218011287659e-12,10,0.5104397588684527,0.5104397588684527,True
