CHANNEL,TEST,TAU,EXPECTED_SIGN,COEFFICIENT,STANDARD_ERROR,P_VALUE,CI_LOWER_95,CI_UPPER_95,BLOCK_BOOT_CI_LOWER_95,BLOCK_BOOT_CI_UPPER_95,BLOCK_BOOT_SIGN_P,N_VALID_BOOTSTRAPS,N_OBSERVATIONS,N_ETFS,N_DATES,HOLM_P_WITHIN_TEST,BH_Q_WITHIN_TEST
EXTERNAL_FINANCING_DEPENDENCE,CPU_AND_VIX_STRESS,0.1,NEGATIVE,0.007452914915746263,0.0027816003230498455,0.007516866728925533,0.0019934127694978205,0.012912417061994707,-0.01393215938543328,0.027236297575239026,0.44,99,883,11,192,0.015033733457851067,0.01002248897190071
GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,0.1,NEGATIVE,-0.016094373404576062,0.004286293881624283,0.00018408054456882874,-0.024506163008889685,-0.007682583800262438,-0.024394891646915197,0.010342908953410127,0.32,99,965,13,192,0.0005522416337064862,0.0003681610891376575
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,0.1,POSITIVE,-0.018288982045142847,0.0027056601278895235,1.8818198707305753e-11,-0.023595661329116658,-0.012982302761169035,-0.031505229206456924,0.004904095139294949,0.18,99,1777,23,192,7.527279482922301e-11,7.527279482922301e-11
PORTFOLIO_CONCENTRATION_FINAL,CPU_AND_VIX_STRESS,0.1,NEGATIVE,-0.00543161474729284,0.002219924193291231,0.014510184217097781,-0.009785523648591515,-0.0010777058459941662,-0.010752369564848594,0.004985664753535207,0.4,99,1828,24,192,0.015033733457851067,0.014510184217097781
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,0.1,NEGATIVE,-0.0038956389116541383,0.0005891674226597408,6.638290765646028e-11,-0.005052009502301671,-0.0027392683210066054,-0.007435334145489782,0.007792228128808407,0.6,99,883,11,192,2.655316306258411e-10,2.655316306258411e-10
GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,0.1,NEGATIVE,-0.0028769485823805507,0.001284830974547284,0.02537792366227724,-0.005398410743743462,-0.0003554864210176395,-0.01176024260271732,0.0006282957370932572,0.26,99,965,13,192,0.05075584732455448,0.03383723154970299
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,0.1,POSITIVE,-0.0028958587602381926,0.0007644475847244313,0.00015690887587276278,-0.004395189041867193,-0.0013965284786091928,-0.006000143358304848,0.0011380726025991858,0.18,99,1777,23,192,0.0004707266276182884,0.00031381775174552556
PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,0.1,NEGATIVE,-0.0008736580481307488,0.0005686045169437505,0.12459333912971773,-0.0019888548080568874,0.0002415387117953899,-0.0036107443097031402,0.000852251296698963,0.56,99,1828,24,192,0.12459333912971773,0.12459333912971773
