CHANNEL,STATE,RETURN_SERIES,N_MONTHS,MEAN,STD,VAR_5,CVAR_5,DOWNSIDE_DEVIATION
EXTERNAL_FINANCING_DEPENDENCE,NON_JOINT_STRESS,HIGH_RETURN,73,0.016205973818755593,0.06356943015560362,-0.08679685896231945,-0.12203541631027445,0.038842021315461404
EXTERNAL_FINANCING_DEPENDENCE,NON_JOINT_STRESS,LOW_RETURN,73,0.016769306767713647,0.045180783114435796,-0.06848282818853395,-0.09661755799144123,0.028094178337047807
EXTERNAL_FINANCING_DEPENDENCE,NON_JOINT_STRESS,HML_RETURN,73,-0.0005633329489580747,0.036133261521334246,-0.06542597960566562,-0.08087164348900835,0.026109681664115064
EXTERNAL_FINANCING_DEPENDENCE,JOINT_STRESS,HIGH_RETURN,17,-0.01214751450444463,0.08024825469419872,-0.11324873310653816,-0.123850645244864,0.05622321936209437
EXTERNAL_FINANCING_DEPENDENCE,JOINT_STRESS,LOW_RETURN,17,-0.009268601503761414,0.06649044374313547,-0.08828324912091086,-0.0961338039649855,0.046328555187779445
EXTERNAL_FINANCING_DEPENDENCE,JOINT_STRESS,HML_RETURN,17,-0.0028789130006831886,0.0378980526128407,-0.05380826300807358,-0.0699113170779959,0.02747401897614006
GROWTH_DURATION_EXPOSURE_FINAL,NON_JOINT_STRESS,HIGH_RETURN,61,0.020133458302109598,0.04296817430145104,-0.0524772959634218,-0.07900730370155361,0.024275541304061645
GROWTH_DURATION_EXPOSURE_FINAL,NON_JOINT_STRESS,LOW_RETURN,61,0.013765042575660533,0.044661655438122866,-0.0565887209007361,-0.08852643329002467,0.02843813524442993
GROWTH_DURATION_EXPOSURE_FINAL,NON_JOINT_STRESS,HML_RETURN,61,0.0063684157264490395,0.016235085561587294,-0.0193021388258945,-0.022901090292920374,0.007604251953092677
GROWTH_DURATION_EXPOSURE_FINAL,JOINT_STRESS,HIGH_RETURN,17,-0.010768713736922715,0.06778109724642925,-0.09581991020671678,-0.0977059248957507,0.04854395058679239
GROWTH_DURATION_EXPOSURE_FINAL,JOINT_STRESS,LOW_RETURN,17,-0.0064124433023985275,0.06062155243070121,-0.07924197712354583,-0.083003883517548,0.039538373867346405
GROWTH_DURATION_EXPOSURE_FINAL,JOINT_STRESS,HML_RETURN,17,-0.0043562704345241786,0.01533195035060085,-0.0227010865501277,-0.0338011194764257,0.012875610756406385
INTERNAL_FINANCIAL_CAPACITY,NON_JOINT_STRESS,HIGH_RETURN,91,0.018067453354874766,0.04174314178635016,-0.060539965088708556,-0.0869684292941639,0.02455284854548897
INTERNAL_FINANCIAL_CAPACITY,NON_JOINT_STRESS,LOW_RETURN,91,0.015054792197085016,0.04380595303792601,-0.061503802346643655,-0.08830191646821992,0.026851256289697832
INTERNAL_FINANCIAL_CAPACITY,NON_JOINT_STRESS,HML_RETURN,91,0.0030126611577897477,0.012915454255398815,-0.0152710226958705,-0.02202024316132264,0.006975775683893197
INTERNAL_FINANCIAL_CAPACITY,JOINT_STRESS,HIGH_RETURN,17,-0.010825082397457306,0.0681407274188991,-0.09514493684576822,-0.0954695113596927,0.04873294937335836
INTERNAL_FINANCIAL_CAPACITY,JOINT_STRESS,LOW_RETURN,17,-0.00935377749489441,0.06579424393549173,-0.09134359904605673,-0.0918329581652096,0.045363785551654344
INTERNAL_FINANCIAL_CAPACITY,JOINT_STRESS,HML_RETURN,17,-0.0014713049025629,0.010472527044624673,-0.01553357724711862,-0.0176696825741795,0.0076636547257474385
PORTFOLIO_CONCENTRATION_FINAL,NON_JOINT_STRESS,HIGH_RETURN,91,0.018572087347357904,0.045946979065980366,-0.06115925962525601,-0.0900975870181426,0.02630724068850031
PORTFOLIO_CONCENTRATION_FINAL,NON_JOINT_STRESS,LOW_RETURN,91,0.014502611513592731,0.041018756641324365,-0.05836655255925695,-0.0885859540278574,0.02575403577701118
PORTFOLIO_CONCENTRATION_FINAL,NON_JOINT_STRESS,HML_RETURN,91,0.004069475833765158,0.015785472188072587,-0.018651246785656703,-0.027450617205128324,0.008839948956418353
PORTFOLIO_CONCENTRATION_FINAL,JOINT_STRESS,HIGH_RETURN,17,-0.012617610061888485,0.07309487629609016,-0.10267558886584885,-0.1176112984240234,0.05289073944537837
PORTFOLIO_CONCENTRATION_FINAL,JOINT_STRESS,LOW_RETURN,17,-0.008070144110001738,0.06309390755113099,-0.08257215389080554,-0.0889169907213597,0.042812240752291196
PORTFOLIO_CONCENTRATION_FINAL,JOINT_STRESS,HML_RETURN,17,-0.004547465951886736,0.021749185202151737,-0.0403744166771322,-0.0446646190663286,0.018072672837510125
