MODEL,CHANNEL,CHANNEL_ROLE,QUALITY,COVARIANCE,PARAMETER,COEFFICIENT,STD_ERROR,TEST_STATISTIC,P_VALUE,SIGNIFICANCE,CI_LOWER_95,CI_UPPER_95,EXPECTED_SIGN,EXPECTED_SIGN_MATCH,N_OBSERVATIONS,N_ETFS,N_MONTHS,R_SQUARED,ADJ_R_SQUARED
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000063599],4.4509972866502504e-05,0.0011108222578687372,0.04006939233635893,0.9680796560403231,,-0.0021465447081669728,0.0022355646538999778,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000063769],0.0014847851621338393,0.001551347791361172,0.9570936771251469,0.339729842431844,,-0.0015751893892353857,0.004544759713503065,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000065418],0.0011505123359861471,0.000866559287911719,1.3276787313176381,0.18586885517258672,,-0.0005587429212994596,0.002859767593271754,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000066985],-0.0028264205727514214,0.002335281771834909,-1.210312437171386,0.22765469032460084,,-0.007432675103092004,0.0017798339575891614,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000068775],0.0020145593192280944,0.0013252735194654705,1.5201083320827515,0.1301374136691869,,-0.0005994923239625622,0.004628610962418751,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000069051],0.0017796599637838768,0.001103622865459649,1.6125616997276189,0.10849083591159328,,-0.0003971941893732532,0.003956514116941007,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000069532],0.0011622523946862185,0.0009175406259866541,1.2667040148074313,0.20680364310315894,,-0.0006475616141396695,0.0029720664035121063,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000074757],0.00015598629078416963,0.0013111041265899904,0.11897322845735332,0.9054216024221005,,-0.0024301167635415242,0.0027420893451098635,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000076639],0.00021599705386503038,0.0016814701535740903,0.1284572630717902,0.8979222747502413,,-0.0031006389109878973,0.003532633018717958,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000079062],-0.005392318352988084,0.003141349876285698,-1.7165608943133421,0.08768063002691487,*,-0.011588511580521554,0.0008038748745453853,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
