MODEL,MODEL_FAMILY,CHANNEL,CHANNEL_ROLE,QUALITY,COVARIANCE,PARAMETER,TARGET_PARAMETER,COEFFICIENT,STD_ERROR,TEST_STATISTIC,P_VALUE,SIGNIFICANCE,CI_LOWER_95,CI_UPPER_95,EXPECTED_SIGN,EXPECTED_SIGN_MATCH,N_OBSERVATIONS,N_ETFS,N_MONTHS,N_JOINT_STRESS_MONTHS,R_SQUARED,ADJ_R_SQUARED
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000068775],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0016886187206058062,0.001255606782677716,1.344862694198454,0.18026434757721108,,-0.0007880179323198878,0.0041652553735315005,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000069051],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0015132516361115698,0.0009995618263748465,1.5139149937325478,0.13170040634505364,,-0.0004583460728351074,0.003484849345058247,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000069532],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.001041981577841456,0.0008506137068052217,1.224976237162911,0.2220927146764094,,-0.0006358216268068345,0.002719784782489747,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000074757],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.000221602841183353,0.0013432408162517414,0.16497625630653978,0.8691371438506643,,-0.0024278886119770892,0.0028710942943437952,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000076639],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.00040052829934289665,0.0015469769003619012,0.2589103297206291,0.7959832437895166,,-0.0026508248356688514,0.0034518814343546447,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000079062],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.005316023541104688,0.0036186826811959176,-1.4690493777552849,0.14346450266236113,,-0.012453737582792532,0.0018216905005831565,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000079196],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.006774621040960734,0.0037046396887552664,1.8286855430296813,0.06900636387451459,*,-0.0005326399308920602,0.014081882012813528,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000079198],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.006359372621912549,0.004461537430741775,-1.4253769514728107,0.15568039824577565,,-0.01515958561997436,0.0024408403761492633,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000079909],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0015100541823284443,0.0014430546096866651,1.0464289931871165,0.29668546059417905,,-0.001336316184436861,0.004356424549093749,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000080443],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0009735418421234101,0.0014374738568575258,0.6772588158588696,0.49906123599633007,,-0.001861820701812132,0.0038089043860589523,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
