MODEL_FAMILY,CHANNEL,N_OBS,N_ETFS,N_DATES,COEFFICIENT,STD_ERROR,T_STAT,P_VALUE,P_HOLM_FAMILY,Q_BH_FAMILY,CI_LOW_95,CI_HIGH_95,STATUS
CONTINUOUS_STRESS_ACTIVATION,EXTENDED_ARCHITECTURE_RISK,4418,48,192,-0.0024746080387001157,0.00205039062176391,-1.2068959018995415,0.2274722361280268,1.0,0.4252743614608106,-0.006493373657357379,0.0015441575799571474,OK
CONTINUOUS_STRESS_ACTIVATION,EXTERNAL_FINANCING_DEPENDENCE,4418,48,192,-0.002974715082244693,0.0022755417412199,-1.307255774903945,0.19112585868121634,1.0,0.4252743614608106,-0.007434776895035697,0.0014853467305463112,OK
CONTINUOUS_STRESS_ACTIVATION,FINANCIAL_ARCHITECTURE_RISK,4418,48,192,-0.0020690412514497306,0.0017973709558664881,-1.1511487067800503,0.2496710629637131,1.0,0.4252743614608106,-0.005591888324948047,0.0014538058220485862,OK
CONTINUOUS_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,4418,48,192,0.0011083786268216342,0.001540206048868479,0.7196300960094987,0.47175277670399474,1.0,0.5661033320447937,-0.0019104252289605848,0.004127182482603853,OK
CONTINUOUS_STRESS_ACTIVATION,INTERNAL_FINANCIAL_CAPACITY,4382,47,192,-0.00017060507806916436,0.0015747264588581754,-0.1083395005586361,0.9137263900863689,1.0,0.9137263900863689,-0.003257068937431188,0.0029158587812928593,OK
CONTINUOUS_STRESS_ACTIVATION,PORTFOLIO_CONCENTRATION,4418,48,192,-0.0010102081852019016,0.0009419596042842418,-1.0724538298747102,0.28351624097387373,1.0,0.4252743614608106,-0.0028564490095990156,0.0008360326391952124,OK
CPU_PRICING,EXTENDED_ARCHITECTURE_RISK,4418,48,192,0.0009900903296163606,0.0014344618338986597,0.6902172690962702,0.4900575650269413,1.0,0.8159372443448609,-0.0018214548648250125,0.0038016355240577337,OK
CPU_PRICING,EXTERNAL_FINANCING_DEPENDENCE,4418,48,192,0.001214314782789599,0.00160995609097779,0.7542533548552232,0.4506971053138319,1.0,0.8159372443448609,-0.0019411991555268694,0.004369828721106067,OK
CPU_PRICING,FINANCIAL_ARCHITECTURE_RISK,4418,48,192,0.000993135221401221,0.0012540934374766757,0.7919148539677227,0.4284103252293029,1.0,0.8159372443448609,-0.0014648879160530633,0.0034511583588555054,OK
CPU_PRICING,GROWTH_DURATION_EXPOSURE,4418,48,192,-0.0003693959549313307,0.0010896586349364143,-0.33900153964538293,0.7346085703024028,1.0,0.8159372443448609,-0.0025051268794067027,0.0017663349695440412,OK
CPU_PRICING,INTERNAL_FINANCIAL_CAPACITY,4382,47,192,-0.0002279800297680999,0.0009793972445733545,-0.23277585375218476,0.8159354638389249,1.0,0.8159372443448609,-0.0021475986291318748,0.001691638569595675,OK
CPU_PRICING,PORTFOLIO_CONCENTRATION,4418,48,192,0.00018190627526630133,0.0007814730957202849,0.2327735609357582,0.8159372443448609,1.0,0.8159372443448609,-0.001349780992345457,0.0017135935428780598,OK
JOINT_STRESS_ACTIVATION,EXTENDED_ARCHITECTURE_RISK,4418,48,192,-0.0004127291277609827,0.005042637301589405,-0.08184787107946337,0.934767688129444,1.0,0.9993658473507814,-0.010296298238876218,0.009470839983354252,OK
JOINT_STRESS_ACTIVATION,EXTERNAL_FINANCING_DEPENDENCE,4418,48,192,1.4088346921574263e-05,0.005870895256140276,0.002399693114408656,0.9980853237509677,1.0,0.9993658473507814,-0.011492866355113367,0.011521043048956514,OK
JOINT_STRESS_ACTIVATION,FINANCIAL_ARCHITECTURE_RISK,4418,48,192,-3.4970603221689803e-06,0.004399966079031929,-0.0007947925641595845,0.9993658473507814,1.0,0.9993658473507814,-0.00862743057522475,0.008620436454580412,OK
JOINT_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,4418,48,192,-0.0013855728968892697,0.0038199005422111507,-0.3627248619638747,0.7168104256300348,1.0,0.9993658473507814,-0.008872577959623125,0.006101432165844585,OK
JOINT_STRESS_ACTIVATION,INTERNAL_FINANCIAL_CAPACITY,4382,47,192,-0.0021006354106947005,0.0032968429476585787,-0.6371657503996585,0.5240168842885058,1.0,0.9993658473507814,-0.008562447588105515,0.004361176766716114,OK
JOINT_STRESS_ACTIVATION,PORTFOLIO_CONCENTRATION,4418,48,192,-0.0009206356091558566,0.0028863979454148707,-0.31895657721705134,0.7497594406492802,1.0,0.9993658473507814,-0.006577975582169003,0.00473670436385729,OK
