CHANNEL,QUALITY,TARGET_PARAMETER,N_OBSERVATIONS,N_ETFS,N_DATE_CLUSTERS,N_JOINT_STRESS_MONTHS,OBSERVED_T_STATISTIC,BOOTSTRAP_P_VALUE,REQUESTED_REPLICATIONS,VALID_REPLICATIONS
INTERNAL_FINANCIAL_CAPACITY,MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,1777,23,192,17,-1.1347763156694082,0.32,399,399
EXTERNAL_FINANCING_DEPENDENCE,MAIN,CPU_VIX_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE_MAIN,883,11,192,17,-1.4969032288725825,0.19,399,399
GROWTH_DURATION_EXPOSURE_FINAL,MAIN,CPU_VIX_STRESS_X_GROWTH_DURATION_EXPOSURE_FINAL_MAIN,965,13,192,17,-1.9000800443673267,0.095,399,399
PORTFOLIO_CONCENTRATION_FINAL,MAIN,CPU_VIX_STRESS_X_PORTFOLIO_CONCENTRATION_FINAL_MAIN,1828,24,192,17,-1.8012558813913395,0.0875,399,399
