MODEL_FAMILY,CHANNEL,OUTCOME,HORIZON,FOCAL_TERM,STATUS,N_OBS,N_ETFS,N_DATES,COEFFICIENT,STD_ERROR,T_STAT,P_VALUE,CI_LOW_95,CI_HIGH_95,R_SQUARED_WITHIN_TRANSFORMED,P_HOLM_FAMILY,Q_BH_FAMILY
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4169,48,186,0.08004359613784792,0.02192561738445169,3.65068835847742,0.0002615384252248891,0.03706938606432261,0.12301780621137323,0.052192478168147316,0.004969230079272894,0.0009842506753876554
EXTREME_CPU_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_EXTERNAL_FINANCING_DEPENDENCE,OK,3881,48,180,0.06036350936824609,0.029587868960205117,2.040143866036225,0.04133599875222927,0.0023712862062440637,0.11835573253024811,0.01517360852281735,0.4133599875222927,0.06613759800356683
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,ETF_RETURN,0,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4418,48,192,1.4088346921551556e-05,0.005870895256140269,0.0023996931144047912,0.9980853237509708,-0.011492866355113375,0.011521043048956478,0.002635317902733192,1.0,0.9993658473507814
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4313,48,189,0.010048349961797338,0.014817393004255703,0.6781456062420259,0.49767937667924644,-0.01899374032654384,0.03909044025013851,0.0069471555223935555,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,4169,48,186,0.02434947005410695,0.02394451640426523,1.016912166568943,0.3091952149792928,-0.022581782098252904,0.0712807222064668,0.010194247778508081,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,EXTERNAL_FINANCING_DEPENDENCE,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_EXTERNAL_FINANCING_DEPENDENCE,OK,3881,48,180,-0.014526486268049458,0.0321305292994778,-0.45210852683605024,0.6511908012102869,-0.07750232369502595,0.04844935115892703,0.009273766048719212,1.0,0.9193281899439345
CPU_PRICING,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,CPU_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.00036939595493132267,0.0010896586349364217,-0.3390015396453733,0.73460857030241,-0.0025051268794067092,0.001766334969544064,0.0027279213186383044,1.0,0.8159372443448712
CONTINUOUS_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,CPU_VIX_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,0.0011083786268220072,0.001540206048868488,0.7196300960097367,0.4717527767038482,-0.0019104252289602291,0.004127182482604243,0.0035206054567445966,1.0,0.5661033320446178
JOINT_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0013855728968892801,0.0038199005422111434,-0.3627248619638781,0.7168104256300323,-0.008872577959623122,0.006101432165844561,0.0028034207715919024,1.0,0.9993658473507814
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0032629835569114385,0.003479881094631055,-0.9376709916743254,0.3484135158120446,-0.010083550502388306,0.0035575833885654294,0.003785890858289176,0.8841273112127906,0.36356192954300304
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4313,48,189,-0.01960053862840004,0.007157327380330256,-2.7385276077025873,0.006171497859205257,-0.03362890029384734,-0.00557217696295274,0.014657372117584222,0.07405797431046308,0.011393534509302014
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,4169,48,186,-0.04845308297545288,0.01183873121567252,-4.092759780820855,4.2626926027525475e-05,-0.07165699615817102,-0.02524916979273474,0.02386422729330151,0.0009804192986330859,0.0004908456745209883
EXTREME_CPU_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_GROWTH_DURATION_EXPOSURE,OK,3881,48,180,-0.055572905523668815,0.013867103398053846,-4.007535238503241,6.135570931512353e-05,-0.08275242818385435,-0.02839338286348328,0.014704120725025027,0.0013498256049327179,0.0004908456745209883
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,ETF_RETURN,0,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4418,48,192,-0.0013855728968892801,0.0038199005422111434,-0.3627248619638781,0.7168104256300323,-0.008872577959623122,0.006101432165844561,0.0028034207715919024,1.0,0.9470645566096203
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4313,48,189,-0.010411752927465304,0.007911511759033943,-1.316025716017726,0.18816541151894695,-0.02591831597517183,0.005094810120241223,0.007298395604559471,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,4169,48,186,-0.02256318160201785,0.013217877452544718,-1.7070200327567695,0.08781832900077016,-0.0484702214090055,0.0033438582049697962,0.009802276577366542,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,GROWTH_DURATION_EXPOSURE,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_GROWTH_DURATION_EXPOSURE,OK,3881,48,180,0.002561383786556119,0.019259161117821076,0.13299560509860392,0.8941968562472541,-0.03518657200437319,0.04030933957748543,0.008557070036655512,1.0,0.9993658473507814
CPU_PRICING,PORTFOLIO_CONCENTRATION,ETF_RETURN,0,CPU_X_PORTFOLIO_CONCENTRATION,OK,4418,48,192,0.0001819062752662901,0.0007814730957202813,0.23277356093574492,0.8159372443448712,-0.001349780992345461,0.0017135935428780414,0.00264251842147889,1.0,0.8159372443448712
CONTINUOUS_STRESS_ACTIVATION,PORTFOLIO_CONCENTRATION,ETF_RETURN,0,CPU_VIX_X_PORTFOLIO_CONCENTRATION,OK,4418,48,192,-0.0010102081852019485,0.0009419596042842476,-1.0724538298747535,0.2835162409738544,-0.0028564490095990738,0.0008360326391951766,0.0031727689784921687,1.0,0.4252743614607816
JOINT_STRESS_ACTIVATION,PORTFOLIO_CONCENTRATION,ETF_RETURN,0,JOINT_STRESS_X_PORTFOLIO_CONCENTRATION,OK,4418,48,192,-0.0009206356091558491,0.0028863979454148776,-0.318956577217048,0.7497594406492827,-0.00657797558216901,0.004736704363857311,0.002687620479404962,1.0,0.9993658473507814
EXTREME_CPU_RECOVERY,PORTFOLIO_CONCENTRATION,ETF_RETURN,0,EXTREME_CPU_X_PORTFOLIO_CONCENTRATION,OK,4418,48,192,0.00040054358612622845,0.0027104442941289783,0.14777783369089537,0.8825181033985057,-0.0049119272303665695,0.0057130144026190256,0.0026325706307765984,0.8841273112127906,0.8825181033985057
EXTREME_CPU_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_PORTFOLIO_CONCENTRATION,OK,4313,48,189,0.007460794215075996,0.004826516229109575,1.5457928370940976,0.12215460749917122,-0.001999177593978771,0.016920766024130764,0.006035493397052338,0.8550822524941986,0.16287280999889495
EXTREME_CPU_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_PORTFOLIO_CONCENTRATION,OK,4169,48,186,0.022587933279290175,0.0077542288977224035,2.9129825256931445,0.003579946337546518,0.007389644639754264,0.037786221918826086,0.009245270232254521,0.05369919506319777,0.008591871210111643
EXTREME_CPU_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_PORTFOLIO_CONCENTRATION,OK,3881,48,180,0.023114982132824792,0.010374076826579565,2.228148347002943,0.02587062419642415,0.002781791552728844,0.04344817271292074,0.009071709534951178,0.28457686616066563,0.044349641479584256
JOINT_STRESS_RECOVERY,PORTFOLIO_CONCENTRATION,ETF_RETURN,0,JOINT_STRESS_X_PORTFOLIO_CONCENTRATION,OK,4418,48,192,-0.0009206356091558491,0.0028863979454148776,-0.318956577217048,0.7497594406492827,-0.00657797558216901,0.004736704363857311,0.002687620479404962,1.0,0.9470645566096203
JOINT_STRESS_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_PORTFOLIO_CONCENTRATION,OK,4313,48,189,0.005439346610984894,0.005992288485970922,0.9077244234351252,0.3640238368149912,-0.006305538821518112,0.0171842320434879,0.005299261259119614,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_PORTFOLIO_CONCENTRATION,OK,4169,48,186,0.01079843319236895,0.010039857778587012,1.075556390390293,0.2821256998572097,-0.008879688053661593,0.030476554438399493,0.0063410527569931485,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,PORTFOLIO_CONCENTRATION,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_PORTFOLIO_CONCENTRATION,OK,3881,48,180,-0.0018250421139577677,0.012045042382541804,-0.15151811475590993,0.8795670222946871,-0.025433325183739704,0.021783240955824165,0.00811085997626848,1.0,0.9993658473507814
CPU_PRICING,FINANCIAL_ARCHITECTURE_RISK,ETF_RETURN,0,CPU_X_FINANCIAL_ARCHITECTURE_RISK,OK,4418,48,192,0.0009931352214012357,0.0012540934374766718,0.7919148539677369,0.42841032522929456,-0.0014648879160530412,0.0034511583588555123,0.0033565863819419173,1.0,0.8159372443448712
CONTINUOUS_STRESS_ACTIVATION,FINANCIAL_ARCHITECTURE_RISK,ETF_RETURN,0,CPU_VIX_X_FINANCIAL_ARCHITECTURE_RISK,OK,4418,48,192,-0.0020690412514496777,0.0017973709558664643,-1.1511487067800361,0.2496710629637191,-0.005591888324947948,0.0014538058220485922,0.0063193768591519595,1.0,0.4252743614607816
JOINT_STRESS_ACTIVATION,FINANCIAL_ARCHITECTURE_RISK,ETF_RETURN,0,JOINT_STRESS_X_FINANCIAL_ARCHITECTURE_RISK,OK,4418,48,192,-3.4970603221685543e-06,0.004399966079031926,-0.0007947925641594883,0.9993658473507814,-0.008627430575224743,0.008620436454580405,0.002619845727248271,1.0,0.9993658473507814
EXTREME_CPU_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,ETF_RETURN,0,EXTREME_CPU_X_FINANCIAL_ARCHITECTURE_RISK,OK,4418,48,192,0.006130985696488566,0.004142235344052271,1.4801152487127247,0.13884249279559588,-0.001987795577853886,0.014249766970831017,0.0066374106959521395,0.8550822524941986,0.17537999089970008
EXTREME_CPU_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_FINANCIAL_ARCHITECTURE_RISK,OK,4313,48,189,0.029224080241597318,0.009567019920943177,3.0546691114986437,0.0022530895017618064,0.010472721196548691,0.047975439286645945,0.026307695623180916,0.0360494320281889,0.006008238671364817
EXTREME_CPU_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_FINANCIAL_ARCHITECTURE_RISK,OK,4169,48,186,0.06311699553854835,0.01740345198032493,3.6266940380508315,0.00028707311365473286,0.02900622965711149,0.09722776141998521,0.03589075734763891,0.0051673160457851915,0.0009842506753876554
EXTREME_CPU_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_FINANCIAL_ARCHITECTURE_RISK,OK,3881,48,180,0.04123956479946675,0.02492604683455846,1.6544767436724295,0.09803068478997443,-0.00761548699626783,0.09009461659520132,0.011693299216356423,0.7842454783197954,0.1383962608799639
JOINT_STRESS_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,ETF_RETURN,0,JOINT_STRESS_X_FINANCIAL_ARCHITECTURE_RISK,OK,4418,48,192,-3.4970603221685543e-06,0.004399966079031926,-0.0007947925641594883,0.9993658473507814,-0.008627430575224743,0.008620436454580405,0.002619845727248271,1.0,0.9993658473507814
JOINT_STRESS_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_FINANCIAL_ARCHITECTURE_RISK,OK,4313,48,189,0.0059502794240885,0.011584903814991316,0.5136235500193456,0.6075152112915307,-0.01675613205329448,0.02865669090147148,0.005515786847346549,1.0,0.9112728169372961
