MODEL_FAMILY,CHANNEL,N_OBS,N_ETFS,N_DATES,COEFFICIENT,STD_ERROR,T_STAT,P_VALUE,P_HOLM_FAMILY,Q_BH_FAMILY,CI_LOW_95,CI_HIGH_95,STATUS
CONTINUOUS_STRESS_ACTIVATION,EXTENDED_ARCHITECTURE_RISK,4418,48,192,-0.002474608038700204,0.002050390621763926,-1.2068959018995753,0.22747223612801393,1.0,0.4252743614607816,-0.006493373657357499,0.001544157579957091,OK
CONTINUOUS_STRESS_ACTIVATION,EXTERNAL_FINANCING_DEPENDENCE,4418,48,192,-0.0029747150822444822,0.0022755417412198622,-1.3072557749038742,0.19112585868124043,1.0,0.4252743614607816,-0.007434776895035412,0.0014853467305464474,OK
CONTINUOUS_STRESS_ACTIVATION,FINANCIAL_ARCHITECTURE_RISK,4418,48,192,-0.0020690412514496777,0.0017973709558664643,-1.1511487067800361,0.2496710629637191,1.0,0.4252743614607816,-0.005591888324947948,0.0014538058220485922,OK
CONTINUOUS_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,4418,48,192,0.0011083786268220072,0.001540206048868488,0.7196300960097367,0.4717527767038482,1.0,0.5661033320446178,-0.0019104252289602291,0.004127182482604243,OK
CONTINUOUS_STRESS_ACTIVATION,INTERNAL_FINANCIAL_CAPACITY,4382,47,192,-0.00017060507806930273,0.001574726458858178,-0.1083395005587238,0.9137263900862993,1.0,0.9137263900862993,-0.0032570689374313315,0.002915858781292726,OK
CONTINUOUS_STRESS_ACTIVATION,PORTFOLIO_CONCENTRATION,4418,48,192,-0.0010102081852019485,0.0009419596042842476,-1.0724538298747535,0.2835162409738544,1.0,0.4252743614607816,-0.0028564490095990738,0.0008360326391951766,OK
CPU_PRICING,EXTENDED_ARCHITECTURE_RISK,4418,48,192,0.0009900903296163495,0.0014344618338986636,0.6902172690962607,0.4900575650269473,1.0,0.8159372443448712,-0.001821454864825031,0.0038016355240577298,OK
CPU_PRICING,EXTERNAL_FINANCING_DEPENDENCE,4418,48,192,0.0012143147827896271,0.001609956090977794,0.7542533548552388,0.45069710531382234,1.0,0.8159372443448712,-0.001941199155526849,0.004369828721106103,OK
CPU_PRICING,FINANCIAL_ARCHITECTURE_RISK,4418,48,192,0.0009931352214012357,0.0012540934374766718,0.7919148539677369,0.42841032522929456,1.0,0.8159372443448712,-0.0014648879160530412,0.0034511583588555123,OK
CPU_PRICING,GROWTH_DURATION_EXPOSURE,4418,48,192,-0.00036939595493132267,0.0010896586349364217,-0.3390015396453733,0.73460857030241,1.0,0.8159372443448712,-0.0025051268794067092,0.001766334969544064,OK
CPU_PRICING,INTERNAL_FINANCIAL_CAPACITY,4382,47,192,-0.00022798002976806905,0.000979397244573354,-0.23277585375215337,0.8159354638389492,1.0,0.8159372443448712,-0.002147598629131843,0.0016916385695957049,OK
CPU_PRICING,PORTFOLIO_CONCENTRATION,4418,48,192,0.0001819062752662901,0.0007814730957202813,0.23277356093574492,0.8159372443448712,1.0,0.8159372443448712,-0.001349780992345461,0.0017135935428780414,OK
JOINT_STRESS_ACTIVATION,EXTENDED_ARCHITECTURE_RISK,4418,48,192,-0.0004127291277610152,0.005042637301589408,-0.08184787107946978,0.9347676881294389,1.0,0.9993658473507814,-0.010296298238876254,0.009470839983354223,OK
JOINT_STRESS_ACTIVATION,EXTERNAL_FINANCING_DEPENDENCE,4418,48,192,1.4088346921551556e-05,0.005870895256140269,0.0023996931144047912,0.9980853237509708,1.0,0.9993658473507814,-0.011492866355113375,0.011521043048956478,OK
JOINT_STRESS_ACTIVATION,FINANCIAL_ARCHITECTURE_RISK,4418,48,192,-3.4970603221685543e-06,0.004399966079031926,-0.0007947925641594883,0.9993658473507814,1.0,0.9993658473507814,-0.008627430575224743,0.008620436454580405,OK
JOINT_STRESS_ACTIVATION,GROWTH_DURATION_EXPOSURE,4418,48,192,-0.0013855728968892801,0.0038199005422111434,-0.3627248619638781,0.7168104256300323,1.0,0.9993658473507814,-0.008872577959623122,0.006101432165844561,OK
JOINT_STRESS_ACTIVATION,INTERNAL_FINANCIAL_CAPACITY,4382,47,192,-0.002100635410694683,0.0032968429476585865,-0.6371657503996517,0.5240168842885102,1.0,0.9993658473507814,-0.008562447588105513,0.004361176766716146,OK
JOINT_STRESS_ACTIVATION,PORTFOLIO_CONCENTRATION,4418,48,192,-0.0009206356091558491,0.0028863979454148776,-0.318956577217048,0.7497594406492827,1.0,0.9993658473507814,-0.00657797558216901,0.004736704363857311,OK
