PAIR,CHANNEL_1,CHANNEL_2,SHOCK,HORIZON_MONTHS,MODEL_VARIANT,N_OBSERVATIONS,N_ETFS,N_DATES,INFERENCE_CLASS,FOCAL_CHANNEL,CONDITIONAL_ON,FOCAL_REGRESSOR,COVARIANCE_METHOD,DK_BANDWIDTH,CONDITION_NUMBER,PAIRWISE_ARCH_CORRELATION,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,HOLM_P_WITHIN_PROFILE,BH_Q_WITHIN_PROFILE
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,12,PRIMARY_ALIGNED,809,13,180,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H12,12,54.20101074875673,0.8339514090521493,RELIABLE_ESTIMATE,-0.013298226872518217,0.009439599877885514,-1.4087701856592931,0.1606378224252559,-0.03192544060483901,0.005328986859802581,0.8376429995760255,0.23203241016981407
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,12,PRIMARY_ALIGNED,809,13,180,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DK_H12,12,54.20101074875673,0.8339514090521493,RELIABLE_ESTIMATE,0.0026883770452704354,0.006443423699172181,0.4172280406790298,0.6770115880507259,-0.01002646595284896,0.01540322004338983,1.0,0.7733933896183953
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,0,PRIMARY_ALIGNED,965,13,192,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,JOINT_A1,DATE_CLUSTERED,0,26.837741510681518,0.8363973321159234,RELIABLE_ESTIMATE,-0.009115980888169794,0.006053648320052681,-1.5058656212276407,0.13375366780948542,-0.02105657209889184,0.0028246103225522522,0.668768339047427,0.1704990488461738
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,0,PRIMARY_ALIGNED,965,13,192,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,JOINT_A2,DATE_CLUSTERED,0,26.837741510681518,0.8363973321159234,RELIABLE_ESTIMATE,-0.005914847726115277,0.005076487340919807,-1.1651457649539942,0.24541307051480002,-0.01592802604761402,0.004098330595383465,1.0,0.3544855462991556
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,3,PRIMARY_ALIGNED,926,13,189,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,JOINT_A1,DK_H3,3,26.92406625268235,0.8358479120287355,RELIABLE_ESTIMATE,-0.0271301725633356,0.016298694640453724,-1.6645610683445722,0.09766610471413553,-0.05928199941507371,0.005021654288402511,0.5859966282848132,0.15870742016047024
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,3,PRIMARY_ALIGNED,926,13,189,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,JOINT_A2,DK_H3,3,26.92406625268235,0.8358479120287355,RELIABLE_ESTIMATE,0.006204385422143608,0.016695650503818268,0.3716168723539508,0.7105966152714873,-0.02673050145177575,0.03913927229606297,1.0,0.7105966152714873
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,6,PRIMARY_ALIGNED,887,13,186,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,JOINT_A1,DK_H6,6,26.975806313284696,0.8352597190123197,RELIABLE_ESTIMATE,-0.05990992784495874,0.02039486785719182,-2.937500172320693,0.0037294936460716462,-0.1001463496973551,-0.019673505992562373,0.044753923752859755,0.024241708699465698
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,6,PRIMARY_ALIGNED,887,13,186,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,JOINT_A2,DK_H6,6,26.975806313284696,0.8352597190123197,RELIABLE_ESTIMATE,0.022895553761569324,0.01851124248241816,1.2368458672244906,0.2177121009060413,-0.013624720199015856,0.05941582772215451,1.0,0.3544855462991556
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,9,PRIMARY_ALIGNED,848,13,183,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,JOINT_A1,DK_H9,9,27.0381107539181,0.8346289469083383,RELIABLE_ESTIMATE,-0.0512276582885853,0.027220696817956126,-1.8819378001665625,0.06144067155617448,-0.10493638175408261,0.0024810651769120173,0.5042385533494501,0.12084547079082979
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,9,PRIMARY_ALIGNED,848,13,183,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,JOINT_A2,DK_H9,9,27.0381107539181,0.8346289469083383,RELIABLE_ESTIMATE,0.044925990157154684,0.015575223079066234,2.8844524363530395,0.004394264712109549,0.01419476549889442,0.07565721481541494,0.05712544125742413,0.05712544125742413
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,12,PRIMARY_ALIGNED,809,13,180,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,JOINT_A1,DK_H12,12,27.669701900335625,0.8339514090521493,RELIABLE_ESTIMATE,-0.03740972784498141,0.025509640276393988,-1.4664937427439726,0.14426842594676245,-0.08774803961773098,0.012928583927768161,0.668768339047427,0.1704990488461738
