CHANNEL,CHANNEL_ROLE,SORT_METHOD,SAMPLE_DESIGN,EVENT,HORIZON_MONTHS,N_EVENTS,MEAN_CUMULATIVE_HML,MEDIAN_CUMULATIVE_HML,MIN_CUMULATIVE_HML,MAX_CUMULATIVE_HML
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,0,13,-0.0037920810505098343,-0.012032732100468846,-0.05802269815022598,0.07329081656773662
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,1,13,0.00573616194798426,-0.005724159610832502,-0.0948947662311459,0.12764803027306248
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,3,13,-3.32087767906258e-05,-0.0202979726145065,-0.13541138387639273,0.15911044236850214
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,6,13,-0.0017291389088672953,-0.01411100099206919,-0.18276569611400217,0.2362195299763803
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,12,11,-0.0657956193245305,-0.03627312103982194,-0.32783858187816495,0.08470035268588005
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,0,18,0.0006787364433401493,-0.0029750353143389585,-0.07837370653848341,0.0674942979622899
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,1,17,0.006373066884999005,0.03408697962508289,-0.12974300959167295,0.09308650215536773
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,3,16,0.01935462744164876,0.0026394047641576934,-0.10230799794967116,0.1663036499597732
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,6,13,0.04699920510023174,0.043973729829839936,-0.08102827950876557,0.2362195299763803
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,12,7,0.013586401804491856,0.020614267430111743,-0.07530406544164847,0.0735499221405913
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,0,3,-0.007597244173615662,-0.013812773093800468,-0.017529870760601418,0.0085509113335549
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,1,3,0.0007729874192940652,-0.005724159610832502,-0.028801405922695755,0.03684452779141045
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,3,3,0.016705226606403056,0.025576782142821886,-0.055451598266314295,0.07999049594270158
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,6,3,0.09213332342090115,0.13410985342371662,-0.09392941313739345,0.2362195299763803
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,12,1,0.08470035268588005,0.08470035268588005,0.08470035268588005,0.08470035268588005
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,0,12,0.007282095142411339,0.006559859544710056,-0.04000988897240065,0.054959414156090736
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,1,11,0.019879322853841145,0.03408697962508289,-0.061891172501928104,0.09308650215536773
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,3,10,0.0464154006694682,0.06239648319273683,-0.07824349055909019,0.1663036499597732
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,6,7,0.09424892254779349,0.12437430129587024,-0.05816675627500956,0.2362195299763803
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,12,1,0.0735499221405913,0.0735499221405913,0.0735499221405913,0.0735499221405913
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,0,17,-0.002878913000683214,-0.0017290216715255546,-0.0699113170779958,0.06093031844030561
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,1,17,0.011484801443702949,-0.0008313899644526446,-0.11207604790542802,0.1172138421485962
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,3,17,0.012839763217865148,0.004031391932395767,-0.16065064592683886,0.24012336062583972
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,6,17,0.011195697252069018,0.02015608843940908,-0.20314590785080622,0.21712817534906992
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,12,15,-0.05514984899157696,-0.03127114586855062,-0.3570932097530226,0.3569848395572426
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,0,19,0.0032543637238620724,-0.0017290216715255546,-0.07812729645625704,0.06281580447391688
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,1,18,0.0076470458123075,0.009193836527294885,-0.11617271989891942,0.09747325701092424
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,3,17,0.021855443107171232,-0.0005837164537523254,-0.1047499327579331,0.1921392282184775
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,6,14,0.05264770177432745,0.03089506574924772,-0.08165021199337297,0.21670204789327974
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,12,8,0.04772289801414897,0.05197481932879233,-0.0289778828450018,0.18154721304617794
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,0,3,-0.01255295227829741,-0.013207241720437302,-0.022722593442929373,-0.0017290216715255546
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,1,3,-0.016974796462026487,-0.014207017736023508,-0.0339079971283458,-0.0028093745217101507
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,3,3,-0.00925323204914874,0.0018513069968353335,-0.07712272413178711,0.04751172098750556
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,6,3,0.07969031211780124,0.12840374707459867,-0.1060348586144747,0.21670204789327974
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,12,1,0.07602045067240537,0.07602045067240537,0.07602045067240537,0.07602045067240537
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,0,12,0.009874615250000643,0.0024362629168238614,-0.023400918162512996,0.05786627876732786
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,1,11,0.022160337923021592,0.01890966126153426,-0.042651421033056525,0.09747325701092424
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,3,10,0.05287454557250262,0.05917833226581981,-0.07773780416552123,0.1921392282184775
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,6,7,0.10274930646715663,0.12840374707459867,-0.08165021199337297,0.21670204789327974
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,12,1,0.08804092867057345,0.08804092867057345,0.08804092867057345,0.08804092867057345
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,0,12,-0.011597933188544454,-0.02030688750706522,-0.10691078182795655,0.13528733734928777
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,1,12,-0.0024861203647119725,-0.020125364264970413,-0.23110776711878156,0.24690357450649025
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,3,12,0.00882136384765612,0.006906401089314673,-0.22010332138533484,0.33661919608669333
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,6,12,0.024690263935262118,0.01995452353369137,-0.3004409479265796,0.5874100504272066
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,12,10,-0.1639457945069523,-0.12222591179758868,-0.5731094310621633,0.22811889508958716
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,0,17,0.00813621205131245,-0.005531246296681225,-0.17612678575095198,0.12990719794709915
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,1,16,0.014216104301482617,0.03755642389280134,-0.24640939537811168,0.23783153020017012
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,3,15,0.06494709393868632,0.03698911894450396,-0.22800637229372223,0.4400154103300373
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,6,12,0.13201370628551448,0.11315527941995396,-0.20105414740508132,0.5874100504272066
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,12,6,-0.014175371062291128,-0.040939367197070975,-0.14902218691590774,0.21625980714774706
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,0,3,-0.0217618985287088,-0.01864174764458526,-0.04111270164485992,-0.005531246296681225
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,1,3,-0.019855506011968838,-0.023778568049957927,-0.06434851703017697,0.02856056704422838
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,3,3,0.019984704318072605,0.03698911894450396,-0.13037049809864043,0.1533354921083543
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,6,3,0.2399743845009946,0.3245636238896674,-0.1920505208138903,0.5874100504272066
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,12,1,0.22811889508958716,0.22811889508958716,0.22811889508958716,0.22811889508958716
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,0,12,0.022747595484211857,0.012118268395321263,-0.05977007974653792,0.1295123601274477
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,1,11,0.05342181233542584,0.06898871558183295,-0.08767744321352111,0.23783153020017012
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,3,10,0.12902819971819618,0.15096532006989072,-0.1474079351550014,0.4400154103300373
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,6,7,0.25706388284007675,0.3245636238896674,-0.14258212061177267,0.5874100504272066
EXTERNAL_FINANCING_DEPENDENCE,PRIMARY,TERCILE,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,12,1,0.21625980714774706,0.21625980714774706,0.21625980714774706,0.21625980714774706
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,0,17,0.0019232277818676438,0.005186247291100621,-0.026976895697188974,0.027466905265475572
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,1,17,0.005992954713547445,0.01382440439522592,-0.0329072846442201,0.06401582732981059
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,3,17,0.004972663541398966,0.006311567255038453,-0.06587723151262703,0.13500108306219838
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,6,17,-0.0021938204717070983,0.012490160822310914,-0.11301224137421118,0.06831611895765066
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,12,15,-0.05256338401177271,-0.06808115805219883,-0.2554195930978821,0.155241545217484
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,0,19,0.0007862579639565995,0.000669207237813163,-0.018771127797693854,0.02748468654543834
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,1,18,0.0012782200700253339,0.0011455830125375321,-0.04559884101820377,0.0370796346810891
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,3,17,0.007047701153408215,5.810487506807682e-05,-0.04500974794149626,0.05926643951017496
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,6,14,0.01694096797201315,0.019748094401998206,-0.059288043017361014,0.054412407208647706
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,12,8,0.020914743926997187,0.03256644457274288,-0.06808115805219883,0.0617806563649137
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,0,3,-0.006367877754546392,-0.014926247178738472,-0.017463713192959585,0.013286327108058882
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,1,3,-0.020714516765891828,-0.02886460501357324,-0.029942636904540798,-0.003336308379561448
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,3,3,-0.03613769171164397,-0.030402273604610786,-0.06140146031572158,-0.01660934121459956
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,6,3,-0.003405217691451153,0.024131375541923683,-0.058980265540314325,0.024633236924037183
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,CPU_AND_VIX_STRESS,12,1,-0.03071297020543673,-0.03071297020543673,-0.03071297020543673,-0.03071297020543673
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,0,12,0.0012399995881569685,0.0003489517399758446,-0.017463713192959585,0.02748468654543834
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,1,11,0.0025437172545391784,0.0015767212466295533,-0.04559884101820377,0.0370796346810891
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,3,10,0.008137844424612527,0.007498759417294054,-0.04500974794149626,0.05581171479057301
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,6,7,0.013492727783878175,0.024131375541923683,-0.059288043017361014,0.052707869568389354
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,MEDIAN_SPLIT,BALANCED_COMMON_WINDOW,EXTREME_CPU_REGIME,12,1,-0.00943126977176223,-0.00943126977176223,-0.00943126977176223,-0.00943126977176223
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,0,17,0.0011994402728033088,0.005233600915812708,-0.06734110769237944,0.04451115157192387
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,1,17,0.011372801154587817,0.014739212435080362,-0.07851186387578601,0.11740208813540565
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,3,17,0.01259998267733824,0.01434722672651445,-0.13976195192407603,0.24451753651495745
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,6,17,0.004570931340452996,0.015261853596881592,-0.1947883162524504,0.18923995940353833
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,CPU_AND_VIX_STRESS,12,15,-0.07160500046981241,-0.09921449793409087,-0.39513721706232907,0.3411058674539258
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,0,19,0.0025461080963866795,-0.0029380988283864706,-0.034584927230495666,0.043513619044788454
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,1,18,0.0049762829405290854,0.006561775389661406,-0.06404230678294487,0.06427646680605759
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,3,17,0.017368296861201685,0.002185956176036452,-0.08083157456766055,0.12008032043394379
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,6,14,0.040313095534887884,0.03593840613936422,-0.09486342221936284,0.11956380997798122
FINANCIAL_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,TERCILE,AVAILABLE_CROSS_SECTION,EXTREME_CPU_REGIME,12,8,0.05283236737077589,0.06666144695172621,-0.09921449793409087,0.14219676384751745
