TIMESTAMP_UTC,CIK10,ATTEMPT_IN_RUN,STARTED_AT_UTC,HTTP_STATUS,SUCCESS,ERROR,URL
2026-07-12T13:26:27.351818+00:00,0001261333,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001261333.json
2026-07-12T13:26:28.450388+00:00,0001037646,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001037646.json
2026-07-12T13:26:29.341329+00:00,0001058090,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001058090.json
2026-07-12T13:26:30.498628+00:00,0000006951,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006951.json
2026-07-12T13:26:31.388510+00:00,0000872589,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000872589.json
2026-07-12T13:26:32.409004+00:00,0001045609,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045609.json
2026-07-12T13:26:33.622298+00:00,0000789019,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json
2026-07-12T13:26:34.421638+00:00,0001664703,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001664703.json
2026-07-12T13:26:35.584944+00:00,0000320193,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json
2026-07-12T13:26:36.458222+00:00,0001730168,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001730168.json
2026-07-12T13:26:37.761904+00:00,0000833444,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000833444.json
2026-07-12T13:26:39.461028+00:00,0001050915,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001050915.json
2026-07-12T13:26:40.219159+00:00,0001783180,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001783180.json
2026-07-12T13:26:41.214122+00:00,0000823768,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000823768.json
2026-07-12T13:26:42.281759+00:00,0000002488,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2026-07-12T13:26:43.317823+00:00,0001051470,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001051470.json
