Horizon,Coefficient,Percentage-point differential,Panel-HAC p-value,Comparison with full sample
6 months,−0.0548,−5.48,0.0159,Full sample: −4.85
12 months,−0.0633,−6.33,0.0141,Full sample: −5.56
